1	Ἄρτεμιν ἀείδω χρυσηλάκατον, κελαδεινήν, 
2	παρθένον αἰδοίην, ἐλαφηβόλον, ἰοχέαιραν, 
3	αὐτοκασιγνήτην χρυσαόρου Ἀπόλλωνος, 
4	ἣ κατ’ ὄρη σκιόεντα καὶ ἄκριας ἠνεμοέσσας 
5	ἄγρῃ τερπομένη παγχρύσεα τόξα τιταίνει 
6	πέμπουσα στονόεντα βέλη· τρομέει δὲ κάρηνα 
7	ὑψηλῶν ὀρέων, ἰάχει δ’ ἔπι δάσκιος ὕλη 
8	δεινὸν ὑπὸ κλαγγῆς θηρῶν, φρίσσει δέ τε γαῖα 
9	πόντος τ’ ἰχθυόεις· ἣ δ’ ἄλκιμον ἦτορ ἔχουσα 
10	πάντη ἐπιστρέφεται θηρῶν ὀλέκουσα γενέθλην. 
11	αὐτὰρ ἐπὴν τερφθῇ θηροσκόπος ἰοχέαιρα, 
12	εὐφρήνῃ δὲ νόον, χαλάσασ’ εὐκαμπέα τόξα 
13	ἔρχεται ἐς μέγα δῶμα κασιγνήτοιο φίλοιο, 
14	Φοίβου Ἀπόλλωνος, Δελφῶν ἐς πίονα δῆμον, 
15	Μουσῶν καὶ Χαρίτων καλὸν χορὸν ἀρτυνέουσα. 
16	ἔνθα κατακρεμάσασα παλίντονα τόξα καὶ ἰοὺς 
17	ἡγεῖται χαρίεντα περὶ χροῒ κόσμον ἔχουσα, 
18	ἐξάρχουσα χορούς· αἳ δ’ ἀμβροσίην ὄπ’ ἰεῖσαι 
19	ὑμνεῦσιν Λητὼ καλλίσφυρον, ὡς τέκε παῖδας 
20	ἀθανάτων βουλῇ τε καὶ ἔργμασιν ἔξοχ’ ἀρίστους. 
21	χαίρετε, τέκνα Διὸς καὶ Λητοῦς ἠυκόμοιο· 
22	αὐτὰρ ἐγὼν ὑμέων τε καὶ ἄλλης μνήσομ’ ἀοιδῆς.
